id,score,sentiment
11821397,10,1
11821397,10,1
11821397,10,1
11821397,10,1
11821456,10,1
11821456,10,1
11821456,10,1
11821456,10,1
11821459,10,1
11821459,10,1
11821460,10,1
11821460,10,1
11821461,10,1
11821462,10,1
11821497,8,-1
11821498,0,-1
11821499,10,1
11821595,10,1
11821595,10,1
11821595,10,1
11821596,9,1
11821596,9,1
11821596,9,1
11821596,9,1
11821597,10,1
11821598,10,1
11821598,10,1
11821637,10,1
11821639,5,1
11821694,5,-1
11821728,6,-1
11821729,10,1
11821756,10,1
11821756,10,1
11821757,10,1
11821757,10,1
11821758,10,1
11821758,10,1
11821822,10,1
11821822,10,1
11821822,10,1
11821824,10,1
11821854,8,1
11821855,10,1
11821855,10,1
11821855,10,1
11821856,9,1
11821856,9,1
11821857,10,1
11822100,10,1
11822114,10,1
11822115,10,1
11822184,10,1
11822184,10,1
11822246,10,1
11822281,10,1
11822302,10,1
11822348,10,1
11822391,10,1
11822391,10,1
11822391,10,1
11822411,10,1
11822411,10,1
11822530,10,1
11822553,10,1
11822553,10,1
11822554,10,1
11822554,10,1
11822554,10,1
11822555,10,1
11822555,10,1
11822555,10,1
11822577,9,1
11822577,9,1
11822577,9,1
11822602,4,-1
11822648,10,1
11822648,10,1
11822648,10,1
11822658,10,1
11822686,10,1
11822686,10,1
11822687,10,1
11822687,10,1
11822696,7,1
11822858,10,1
11822858,10,1
11822900,3,-1
11822900,3,-1
11824615,8,1
11824616,10,1
11824616,10,1
11824629,10,1
11824630,9,-1
11824805,9,1
11824807,10,1
11824807,10,1
11824809,9,1
11824849,9,1
11824849,9,1
11824849,9,1
11824961,10,1
11824961,10,1
11824998,10,1
11824998,10,1
11825046,7,1
11825194,9,1
11825266,10,1
11825266,10,1
11825266,10,1
11825266,10,1
11825273,10,1
11825354,10,1
11825356,10,1
11825396,10,1
11825401,8,-1
11825441,10,1
11825441,10,1
11825441,10,1
11825455,10,1
11825455,10,1
11825455,10,1
11825455,10,1
11825796,10,1
11825796,10,1
11825796,10,1
11825870,9,1
11825870,9,1
11825872,9,1
11825912,4,-1
11825914,9,1
11825950,10,1
11825950,10,1
11826318,10,1
11826318,10,1
11826318,10,1
11826356,10,1
11826548,10,1
11826793,10,1
11826836,10,1
11826837,10,1
11826837,10,1
11826838,10,1
11826838,10,1
11826893,6,1
11826895,10,1
11826895,10,1
11826898,7,-1
11826932,10,1
11826932,10,-1
11826973,9,1
11826973,9,1
11826973,9,1
11827085,5,1
11827085,5,-1
11827526,10,1
11827593,8,1
11827593,8,-1
11827717,7,-1
11827768,8,-1
11827771,10,1
11827771,10,-1
11827824,10,1
11827824,10,1
11827824,10,1
11827978,10,1
11827978,10,-1
11828034,10,1
11828034,10,1
11828034,10,1
11828034,10,1
11828034,10,1
11828035,10,1
11828035,10,1
11828036,10,1
11828036,10,1
11828038,8,-1
11828039,10,1
11828039,10,1
11828039,10,1
11828087,10,1
11828087,10,1
11828156,2,-1
11828242,8,1
11828242,8,-1
11828381,10,1
11828381,10,1
11828920,10,1
11828920,10,1
11828920,10,1
11833585,10,1
11833720,4,1
11833724,8,1
11833724,8,-1
11833724,8,-1
11833731,10,1
11833728,0,-1
11833729,10,1
11834159,7,1
11834170,10,1
11834170,10,1
11834208,10,1
11834311,8,-1
11834335,0,1
11834335,0,-1
11834363,6,-1
11834456,10,1
11834502,5,-1
11834629,10,1
11834634,8,-1
11834636,10,1
11837085,8,1
11837085,8,-1
11837220,10,1
11837220,10,1
11837259,10,1
11837259,10,1
11837259,10,1
11837381,9,1
11837702,10,1
11837827,10,1
11837827,10,1
11844831,10,1
11844831,10,1
11844831,10,1
11844833,10,1
11844833,10,1
11844833,10,1
11845683,10,1
11845683,10,1
11845688,8,-1
11845688,8,-1
11845693,10,1
11845693,10,1
11845752,10,1
11845752,10,1
11845752,10,1
11845911,10,1
11845911,10,1
11845911,10,1
11845988,10,1
11845988,10,1
11845988,10,1
11845989,10,1
11845989,10,1
11845990,6,1
11845990,6,-1
11845991,10,1
11845991,10,1
11845992,9,1
11845992,9,1
11845992,9,1
11845994,10,1
11845994,10,1
11845996,10,1
11845996,10,1
11845996,10,1
11845998,8,1
11845999,4,-1
11846000,10,1
11846000,10,1
11846000,10,1
11846000,10,1
11846050,10,1
11846051,10,1
11846051,10,1
11846051,10,1
11846052,10,1
11846052,10,1
11846053,10,1
11846053,10,1
11846116,10,1
11846116,10,1
11846117,9,1
11846117,9,1
11846117,9,1
11846117,9,1
11846121,10,1
11846122,4,-1
11846123,10,1
11846123,10,1
11846123,10,1
11846147,10,1
11846150,10,1
11846150,10,1
11846150,10,1
11846150,10,1
11846151,10,1
11846151,10,1
11846151,10,1
11846193,10,1
11846193,10,1
11846194,10,1
11846194,10,1
11846239,10,1
11846239,10,1
11846239,10,1
11846239,10,1
11846239,10,1
11846240,10,1
11846254,10,1
11846296,10,1
11846296,10,1
11846296,10,1
11846297,3,-1
11846298,3,-1
11846299,10,1
11846300,10,1
11846340,10,1
11846340,10,1
11846340,10,1
11846341,9,1
11846379,10,1
11846379,10,1
11846379,10,1
11846431,10,1
11846431,10,1
11846431,10,1
11846431,10,1
11846467,10,1
11846469,10,1
11846470,10,1
11846470,10,1
11846470,10,1
11846471,9,1
11846471,9,1
11846497,10,1
11846715,5,-1
11846715,5,-1
11846735,10,1
11846735,10,1
11846735,10,1
11846735,10,1
11846736,8,1
11846736,8,1
11846758,9,1
11846758,9,1
11846758,9,1
11846758,9,1
11846759,10,1
11846760,10,1
11846856,10,1
11846889,10,1
11846889,10,1
11846889,10,1
11846889,10,1
11846889,10,1
11846890,10,1
11846890,10,1
11846942,10,1
11846943,10,1
11846943,10,1
11846943,10,1
11846943,10,1
11846979,10,1
11847015,10,1
11847015,10,1
11847072,10,1
11847072,10,1
11847072,10,1
11847148,10,1
11847178,10,1
11847178,10,1
11847227,8,1
11847227,8,-1
11847256,10,1
11847256,10,1
11847257,10,1
11847257,10,1
11847257,10,1
11847258,10,1
11847318,10,1
11847318,10,1
11847319,9,1
11847332,10,1
11847333,9,1
11847334,10,1
11847335,9,1
11847353,10,1
11847353,10,1
11847377,9,1
11847377,9,1
11847377,9,1
11847380,10,1
11847380,10,1
11847381,10,1
11847384,10,1
11847384,10,1
11847385,0,-1
11847450,10,1
11847476,10,1
11847476,10,1
11847491,10,1
11847491,10,1
11847491,10,1
11847491,10,1
11847491,10,1
11848011,10,1
11848019,10,1
11848019,10,1
11848020,10,1
11848037,10,1
11848037,10,1
11848037,10,1
11848579,10,1
11848579,10,1
11848579,10,1
11848731,10,1
11848731,10,1
11848731,10,1
11848732,10,1
11848732,10,1
11848733,10,1
11848733,10,1
11848733,10,1
11848733,10,1
11848733,10,1
11849301,10,1
11849388,9,1
11849388,9,1
11849482,10,1
11849482,10,1
11849482,10,1
11849497,10,1
11849497,10,1
11849501,6,-1
11849519,10,1
11849521,9,1
11849545,10,1
11849559,7,1
11849559,7,1
11849559,7,1
11849559,7,1
11849559,7,1
11849562,10,1
11849562,10,1
11849562,10,1
11849564,6,1
11849564,6,-1
11849584,7,1
11849584,7,1
11849584,7,1
11849584,7,1
11849584,7,1
11849675,2,-1
11849700,10,1
11849727,10,1
11849727,10,1
11849754,8,1
11849785,9,1
11849785,9,1
11849827,10,1
11849831,8,1
11849854,9,1
11849978,10,1
11850010,10,1
11850010,10,1
11850010,10,1
11850021,10,1
11850021,10,1
11850021,10,1
11850021,10,1
11850196,9,1
11850196,9,1
11850196,9,1
11850199,8,-1
11850457,7,1
11850458,9,1
11850458,9,1
11850460,8,-1
11850461,9,1
11850573,7,1
11850579,10,1
11850614,8,1
11850614,8,1
11850614,8,1
11851038,10,1
11851038,10,1
11851035,10,1
11851039,5,-1
11851095,10,1
11851095,10,1
11851136,10,1
11851138,10,1
11851138,10,1
11851138,10,1
11851138,10,1
11851143,10,1
11851143,10,1
11851338,10,1
11851338,10,1
11851338,10,1
11851385,10,1
11851385,10,1
11851385,10,1
11851385,10,1
11851386,10,1
11851386,10,1
11851389,10,1
11851438,10,1
11851439,8,-1
11851491,10,1
11851491,10,1
11851491,10,1
11851492,8,1
11851492,8,1
11851579,10,1
11851580,10,1
11851580,10,-1
11851580,10,-1
11852050,10,1
11852050,10,1
11852050,10,1
11852050,10,1
11852095,5,-1
11852095,5,-1
11852109,5,-1
11852109,5,-1
11852149,10,1
11852149,10,1
11852149,10,1
11852152,10,1
11852152,10,1
11852309,10,1
11852309,10,1
11852309,10,1
